old_name,new_name
virt-gs2prod-cluster01-lun1,virt-gs2prod-cluster01-lun01
virt-gs2prod-cluster01-lun2,virt-gs2prod-cluster01-lun02
virt-gs2prod-cluster01-lun3,virt-gs2prod-cluster01-lun03
virt-gs2prod-cluster01-lun4,virt-gs2prod-cluster01-lun04
virt-gs2prod-cluster02-lun1,virt-gs2prod-cluster02-lun01
virt-gs2prod-cluster02-lun2,virt-gs2prod-cluster02-lun02
virt-gs2prod-cluster02-lun3,virt-gs2prod-cluster02-lun03
virt-gs2prod-cluster02-lun4,virt-gs2prod-cluster02-lun04
virt-gs2prod-cluster03-lun1,virt-gs2prod-cluster03-lun01
virt-gs2prod-cluster03-lun2,virt-gs2prod-cluster03-lun02
virt-gs2prod-cluster03-lun3,virt-gs2prod-cluster03-lun03
virt-gs2prod-cluster03-lun4,virt-gs2prod-cluster03-lun04
virt-gs2prod-cluster04-lun1,virt-gs2prod-cluster04-lun01
virt-gs2prod-cluster04-lun2,virt-gs2prod-cluster04-lun02
virt-gs2prod-cluster04-lun3,virt-gs2prod-cluster04-lun03
virt-gs2prod-cluster04-lun4,virt-gs2prod-cluster04-lun04
virt-gs2prod-cluster05-lun1,virt-gs2prod-cluster05-lun01
virt-gs2prod-cluster05-lun2,virt-gs2prod-cluster05-lun02
virt-gs2prod-cluster05-lun3,virt-gs2prod-cluster05-lun03
virt-gs2prod-cluster05-lun4,virt-gs2prod-cluster05-lun04
virt-gs2prod-cluster06-lun1,virt-gs2prod-cluster06-lun01
virt-gs2prod-cluster06-lun2,virt-gs2prod-cluster06-lun02
virt-gs2prod-cluster06-lun3,virt-gs2prod-cluster06-lun03
virt-gs2prod-cluster06-lun4,virt-gs2prod-cluster06-lun04
virt-gs2prod-cluster07-lun1,virt-gs2prod-cluster07-lun01
virt-gs2prod-cluster07-lun2,virt-gs2prod-cluster07-lun02
virt-gs2prod-cluster07-lun3,virt-gs2prod-cluster07-lun03
virt-gs2prod-cluster07-lun4,virt-gs2prod-cluster07-lun04
virt-gs2prod-cluster08-lun1,virt-gs2prod-cluster08-lun01
virt-gs2prod-cluster08-lun2,virt-gs2prod-cluster08-lun02
virt-gs2prod-cluster08-lun3,virt-gs2prod-cluster08-lun03
virt-gs2prod-cluster08-lun4,virt-gs2prod-cluster08-lun04
virt-gs2prod-cluster09-lun1,virt-gs2prod-cluster09-lun01
virt-gs2prod-cluster09-lun2,virt-gs2prod-cluster09-lun02
virt-gs2prod-cluster09-lun3,virt-gs2prod-cluster09-lun03
virt-gs2prod-cluster09-lun4,virt-gs2prod-cluster09-lun04
virt-gs2prod-cluster10-lun1,virt-gs2prod-cluster10-lun01
virt-gs2prod-cluster10-lun2,virt-gs2prod-cluster10-lun02
virt-gs2prod-cluster10-lun3,virt-gs2prod-cluster10-lun03
virt-gs2prod-cluster10-lun4,virt-gs2prod-cluster10-lun04
virt-gs2prod-cluster11-lun1,virt-gs2prod-cluster11-lun01
virt-gs2prod-cluster11-lun2,virt-gs2prod-cluster11-lun02
virt-gs2prod-cluster11-lun3,virt-gs2prod-cluster11-lun03
virt-gs2prod-cluster11-lun4,virt-gs2prod-cluster11-lun04
virt-gs2prod-cluster12-lun1,virt-gs2prod-cluster12-lun01
virt-gs2prod-cluster12-lun2,virt-gs2prod-cluster12-lun02
virt-gs2prod-cluster12-lun3,virt-gs2prod-cluster12-lun03
virt-gs2prod-cluster12-lun4,virt-gs2prod-cluster12-lun04
virt-gs2prod-cluster13-lun1,virt-gs2prod-cluster13-lun01
virt-gs2prod-cluster13-lun2,virt-gs2prod-cluster13-lun02
virt-gs2prod-cluster13-lun3,virt-gs2prod-cluster13-lun03
virt-gs2prod-cluster13-lun4,virt-gs2prod-cluster13-lun04
virt-gs2prod-cluster14-lun1,virt-gs2prod-cluster14-lun01
virt-gs2prod-cluster14-lun2,virt-gs2prod-cluster14-lun02
virt-gs2prod-cluster14-lun3,virt-gs2prod-cluster14-lun03
virt-gs2prod-cluster14-lun4,virt-gs2prod-cluster14-lun04
virt-gs2prod-cluster15-lun1,virt-gs2prod-cluster15-lun01
virt-gs2prod-cluster15-lun2,virt-gs2prod-cluster15-lun02
virt-gs2prod-cluster15-lun3,virt-gs2prod-cluster15-lun03
virt-gs2prod-cluster15-lun4,virt-gs2prod-cluster15-lun04
virt-gs2prod-cluster16-lun1,virt-gs2prod-cluster16-lun01
virt-gs2prod-cluster16-lun2,virt-gs2prod-cluster16-lun02
virt-gs2prod-cluster16-lun3,virt-gs2prod-cluster16-lun03
virt-gs2prod-cluster16-lun4,virt-gs2prod-cluster16-lun04
virt-gs2prod-cluster17-lun1,virt-gs2prod-cluster17-lun01
virt-gs2prod-cluster17-lun2,virt-gs2prod-cluster17-lun02
virt-gs2prod-cluster17-lun3,virt-gs2prod-cluster17-lun03
virt-gs2prod-cluster17-lun4,virt-gs2prod-cluster17-lun04
virt-gs2prod-cluster18-lun1,virt-gs2prod-cluster18-lun01
virt-gs2prod-cluster18-lun2,virt-gs2prod-cluster18-lun02
virt-gs2prod-cluster18-lun3,virt-gs2prod-cluster18-lun03
virt-gs2prod-cluster18-lun4,virt-gs2prod-cluster18-lun04
virt-gs2prod-cluster19-lun1,virt-gs2prod-cluster19-lun01
virt-gs2prod-cluster19-lun2,virt-gs2prod-cluster19-lun02
virt-gs2prod-cluster19-lun3,virt-gs2prod-cluster19-lun03
virt-gs2prod-cluster19-lun4,virt-gs2prod-cluster19-lun04
virt-gs2prod-cluster20-lun1,virt-gs2prod-cluster20-lun01
virt-gs2prod-cluster20-lun2,virt-gs2prod-cluster20-lun02
virt-gs2prod-cluster20-lun3,virt-gs2prod-cluster20-lun03
virt-gs2prod-cluster20-lun4,virt-gs2prod-cluster20-lun04